site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Fortlauderdale,FTL,20250721,50,20,6,7,-0.6520856537902373,-0.6816834010308226,19.62834302,-0.4381077578213449,-0.644784463194411,0.3892922117866861,-0.069419299542519
Fortlauderdale,FTL,20250721,50,21,5,4,-0.6722809071575769,-1.0634080003159898,19.12738411,-0.48973915772748267,0.44741090831439573,0.02326304190501148,-0.016767082929836
Fortlauderdale,FTL,20250721,50,22,2,4,-0.6389353518426308,-1.39198653163377,17.99847249,-0.5184393289152258,-1.4961605327795415,-0.4630867194736175,-0.11507041288268784
Fortlauderdale,FTL,20250721,50,23,2,3,-0.6856346296365973,-1.0505514490001704,18.06897925,-0.4684009566432186,-0.1218252492992612,0.19571019192395223,-0.010617755427250934
Fortlauderdale,FTL,20250721,50,24,4,6,-0.6136115367695205,-0.668150417100577,18.89961106,-0.5005018345322205,0.0607477202786477,0.23828527585236117,0.020010542361105457
Fortlauderdale,FTL,20250721,100,1,2,5,-0.6689306332717939,-1.070573486039015,17.60052196,-0.38995293985373763,-0.034118622627472006,0.2770463388033963,0.004040429404114642
Fortlauderdale,FTL,20250721,100,2,3,2,-0.6183235263667467,-1.1253678199761477,17.82999402,-0.3476058274661573,-0.1363062413559439,0.2788644488445592,-0.012406292526520155
Fortlauderdale,FTL,20250721,100,3,1,3,-0.6445835285877091,-2.57294510646662,13.50841951,-0.5034147135513398,0.08576776075973994,0.28969305061087586,0.02709513772294892
Fortlauderdale,FTL,20250721,100,4,2,3,-0.5106394985658548,-1.560856454011489,16.92956111,-0.490620507937748,0.3551277368438612,0.42007629581164113,0.05516220543881409
Fortlauderdale,FTL,20250721,100,5,3,4,-0.5403261067721035,-1.1851865108002817,17.37303316,-0.5164599402581177,0.001793008677724811,0.2947129288301386,0.009494059427951593
Fortlauderdale,FTL,20250721,100,6,2,3,-0.6497303405289652,-1.576294878329758,16.18161201,-0.4802927285991924,-0.027086832320021147,0.27834282553393613,0.003891857578034745
Fortlauderdale,FTL,20250721,100,7,4,4,-0.6522820557120443,-1.1106386170021356,17.59939562,-0.4937186773947438,0.0827846010981651,0.39108270943502943,0.030659695219850264
Fortlauderdale,FTL,20250721,100,8,5,4,-0.6099361488896383,-1.3283843444095995,17.75718704,-0.45345824026275316,-0.10676946787797863,0.1821288934206878,-0.01785361797308365
Fortlauderdale,FTL,20250721,100,9,5,3,-0.6360467117727969,-0.7082550858146376,18.62430651,-0.4784963628288974,-0.020581787808371634,0.35285278866953534,0.00915322822002095
Fortlauderdale,FTL,20250721,100,10,4,5,-0.5282002270692426,-1.0985186094612365,18.10433117,-0.4683072416248872,-0.10676946787797863,0.1821288934206878,-0.01785361797308365
